date,ticker,prev_close,open,gap_pct,high,low,open_to_high_pct,open_to_low_pct,open_to_close_pct,close,hod_time,lod_time,float_proxy,shares_outstanding,market_cap,pm_high,pm_low,pm_vwap,pm_volume,pm_trades,ret_5m,ret_15m,ret_30m,high_5m_pct,low_5m_pct,high_15m_pct,low_15m_pct,high_30m_pct,low_30m_pct,vol_5m,vol_15m,vol_30m,atr14,avg_vol_30d,pos_52w,dist_52w_high_pct,sma200,prevclose_to_sma200_pct,open_to_sma200_pct,gap_vs_atr,float_rotation_pm,float_rotation_30m,short_interest_shares,short_percent_float,days_to_cover,short_settlement_date
2025-09-03,BURU,"0,1619","0,2188","0,351452","0,2188","0,1631","0,0","-0,25457","-0,223949","0,1698",09:30,15:56,79952919,79952919,"11960956,682400001","0,257","0,1935","0,21892962226793414","83016304,0",94661,"-0,048446","-0,095064","-0,148995","0,0","-0,082267","0,0","-0,11106","0,0","-0,16819","7380212,0","17915513,0","33352470,0","0,02369","13228511,2","0,0197","8,882644","0,296203","-0,453415","-0,261317","2,401857","1,038315","0,417151",3541717,"0,044298","1,0",2025-08-15
2025-09-03,BTBD,"1,85","3,955","1,137838","4,5","2,8","0,1378","-0,292035","-0,233881","3,03",09:40,11:24,6154724,6154724,"17664057,88","4,35","2,4","3,667934500118187","30908926,0",220288,"-0,062171","0,027813","-0,077118","0,046751","-0,077118","0,1378","-0,08976","0,1378","-0,120101","6932354,0","22296973,0","33611895,0","0,240163","4464060,233","0,184783","2,027027","1,485483","0,245386","1,662434","8,764881","5,021984","5,461154",237278,"0,038552","1,0",2025-08-15
2025-09-03,JEM,"2,22","3,36","0,513514","3,69","0,701","0,098214","-0,791369","-0,774107","0,759",09:30,15:57,21950000,21950000,"9219000,0","4,06","2,35","3,280794172586882","1405495,0",14702,"-0,190476","-0,389881","-0,508929","0,098214","-0,196429","0,098214","-0,447917","0,098214","-0,515179","1147692,0","2282616,0","2910016,0","0,818696","496242,167","0,111111","2,558559",,,,"1,392458","0,064032","0,132575",255481,"0,011639","1,0",2025-08-15
2025-09-03,AIHS,"2,4","3,46","0,441667","8,26","3,0401","1,387283","-0,121358","0,118497","3,87",10:22,09:30,1108312,1108312,"3491182,8","4,42","2,44","3,595165109090233","29266322,0",295922,"0,16185","0,389827","0,962457","0,210983","-0,121358","0,459538","-0,121358","1,063584","-0,121358","6096064,0","21262447,0","40067450,0","0,228603","39669,777","0,036869","6,083333","7,414461","-0,676308","-0,533344","4,63686","26,406212","36,151779",197782,"0,178453","4,27",2022-05-13
2025-09-03,STI,"3,28","7,49","1,283537","7,8","5,5097","0,041389","-0,264393","-0,064085","7,01",09:30,11:43,2774305,2774305,"19031732,3","8,83","4,16","7,329952948334482","44936048,0",627185,"0,009346","-0,126836","-0,147877","0,041389","-0,036182","0,041389","-0,132176","0,041389","-0,17757","2451051,0","4509029,0","8016773,0","0,286438","177214,167","0,006531","15,768293","11,241016","-0,708211","-0,33369","14,697771","16,197227","2,889651",65371,"0,023563","2,08",2025-08-15
2025-09-04,BRIA,"2,5599","4,83","0,886792","4,95","3,5901","0,024845","-0,256708","-0,140787","4,15",09:32,10:06,25000000,25000000,"103750000,00000001","7,57","4,54","5,927901173797181","15106954,0",213872,"-0,089027","-0,093188","-0,134576","0,024845","-0,097308","0,024845","-0,146998","0,024845","-0,146998","1048969,0","2459887,0","3774772,0","0,135884","221055,7","0,299962","0,711004",,,,"16,706161","0,604278","0,150991",22625,"0,000905","12,33",2025-08-15
2025-09-04,HWH,"4,43","6,22","0,404063","7,1599","4,93","0,151109","-0,207395","-0,003215","6,2",09:33,11:59,6476400,6476400,"40153680,0","6,35","4,61","5,793577540676034","14260732,0",140791,"0,086624","-0,016077","-0,107717","0,151109","-0,000804","0,151109","-0,017669","0,151109","-0,167203","7495845,0","8275480,0","11899904,0","0,634793","13612600,4","0,513828","0,75395","1,845562","1,400353","2,370247","2,819817","2,201954","1,837426",125202,"0,019332","1,0",2025-08-15
2025-09-04,AEO,"13,62","17,75","0,303231","18,85","17,21","0,061972","-0,030423","0,058592","18,79",15:59,09:43,173268234,173268234,"3255710116,8599997","17,83","16,66","17,225414805180886","4124313,0",17975,"-0,009532","-0,010423","0,016901","0,030986","-0,027606","0,030986","-0,030423","0,030986","-0,030423","10037367,0","19275406,0","27290857,0","0,696572","16912221,033","0,325599","0,661527","13,1454","0,036104","0,350282","5,929035","0,023803","0,157506",29469681,"0,170081","7,42",2022-02-15
2025-09-04,CIGL,"1,47","3,67","1,496599","4,74","2,61","0,291553","-0,288828","-0,207084","2,91",09:37,14:07,1250000,1250000,"64969783,260000005","4,22","1,4","3,2408026218401593","55525658,0",382102,"0,010899","-0,133515","-0,177112","0,114414","-0,054496","0,291553","-0,133515","0,291553","-0,226158","8831475,0","26669770,0","33198548,0","0,517038","57825,833","0,00236","20,12585",,,,"4,255006","44,420526","26,558838",10161,"0,008129","1,0",2025-08-15
2025-09-04,BSLK,"2,89","4,77","0,650519","5,21","3,8","0,092243","-0,203354","-0,109015","4,25",09:37,10:07,2061779,2061779,"12322433,0","6,48","3,59","5,311976763012885","22241627,0",276811,"0,048218","-0,043061","-0,180294","0,064843","-0,071279","0,092243","-0,071279","0,092243","-0,180294","2076776,0","5562895,0","7871864,0","1,760776","11805959,567","0,036905","10,294118","5,928905","-0,512558","-0,195467","1,067711","10,78759","3,817996",511056,"0,247871","1,0",2025-08-15
2025-09-04,BBLG,"2,07","2,75","0,328502","4,1299","2,5101","0,501782","-0,087236","0,036364","2,85",10:06,11:54,1795260,1795260,"4574991,0","3,17","2,07","2,7898452465988113","35424603,0",269036,"0,029091","0,018182","0,352727","0,072727","-0,0836","0,109091","-0,0836","0,367273","-0,0836","2252330,0","6713717,0","21616532,0","0,139735","41239,433","0,002764","6,971014","4,909307","-0,578352","-0,439839","4,866354","19,732297","12,040892",18344,"0,010218","1,0",2024-05-15
2025-09-04,ZNB,"1,37","2,26","0,649635","3,4099","1,25","0,508805","-0,446903","-0,424779","1,3",09:49,15:59,,,"1356595,5","2,61","1,9193","2,27795952249183","39732179,0",252313,"0,185841","0,402611","0,247743","0,20354","-0,017655","0,446903","-0,017655","0,508805","-0,017655","7687446,0","33997598,0","66538141,0",,,"0,073171","1,386861",,,,,,,,,,
